nome_estacao;cod_estacao;bacia;sub_bacia;operadora;responsavel;municipio_uf;municipio;uf;latitude;longitude;altitude;cod_rio;nome_rio;origem;status_estacao
PCH SÃO PAULO BARRAMENTO;86495500;8;86;00633 - SÃO PAULO - São Paulo Energética S.A .;00633 - SÃO PAULO - São Paulo Energética S.A .;GUAPORÉ-RS;GUAPORÉ;RS;-28.77500;-51.84470;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PCH AUTÓDROMO BARRAMENTO;86497400;8;86;00477 - AUTÓDROMO - Autódromo Energética S.A;00477 - AUTÓDROMO - Autódromo Energética S.A;GUAPORÉ-RS;GUAPORÉ;RS;-28.82890;-51.84190;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PASSO CARREIRO;86500000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;GUAPORÉ-RS;GUAPORÉ;RS;-28.84890;-51.83250;260.00;86131000;RIO CARREIRO;RHN;Ativo
PCH AUTÓDROMO JUSANTE;86504900;8;86;00477 - AUTÓDROMO - Autódromo Energética S.A;00477 - AUTÓDROMO - Autódromo Energética S.A;VISTA ALEGRE DO PRATA-RS;VISTA ALEGRE DO PRATA;RS;-28.88170;-51.78970;222.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PCH LINHA EMILIA BARRAMENTO;86505400;8;86;00459 - LINHA EMILIA - Linha Emilia Energética S.A.;00459 - LINHA EMILIA - Linha Emilia Energética S.A.;DOIS LAJEADOS-RS;DOIS LAJEADOS;RS;-28.94110;-51.77390;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PCH LINHA EMILIA JUSANTE;86505500;8;86;00459 - LINHA EMILIA - Linha Emilia Energética S.A.;00459 - LINHA EMILIA - Linha Emilia Energética S.A.;DOIS LAJEADOS-RS;DOIS LAJEADOS;RS;-28.94140;-51.76940;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PCH COTIPORÃ BARRAMENTO;86506000;8;86;00215 - COTIPORÃ - Cotiporã Energética S.A.;00215 - COTIPORÃ - Cotiporã Energética S.A.;COTIPORÃ-RS;COTIPORÃ;RS;-28.96390;-51.75830;110.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PCH COTIPORÃ JUSANTE;86507000;8;86;00215 - COTIPORÃ - Cotiporã Energética S.A.;00215 - COTIPORÃ - Cotiporã Energética S.A.;COTIPORÃ-RS;COTIPORÃ;RS;-28.97220;-51.75580;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
MUÇUM;86510000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;MUÇUM-RS;MUÇUM;RS;-29.16720;-51.86860;34.00;86001000;RIO TAQUARI;RHN;Ativo
PCH CAPIGUI RESERVATÓRIO 2;86518300;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MATO CASTELHANO-RS;MATO CASTELHANO;RS;-28.31360;-52.23000;0.00;86210200;RIO CAPIGUI;Setor Elétrico;Ativo
PCH CAPIGUI RESERVATÓRIO 1;86518500;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MATO CASTELHANO-RS;MATO CASTELHANO;RS;-28.33580;-52.22610;0.00;86210200;RIO CAPIGUI;Setor Elétrico;Ativo
PCH CAPIGUI RIO BRANCO;86519500;8;86;00007 - CEEE - CEEE;00007 - CEEE - CEEE;MATO CASTELHANO-RS;MATO CASTELHANO;RS;-28.34390;-52.16690;0.00;86210250;RIO BRANCO;Setor Elétrico;Ativo
