cod,cobertura_telemetria_pct,abaixo_10pct,nome,rio
86210900,93.56,0,PCH PALANQUINHO BARRAMENTO,LAJEADO GRANDE
86220600,0.93,1,PCH PALANQUINHO JUSANTE,RIO DAS ANTAS
86280500,83.18,0,PCH RIO SÃO MARCOS BARRAMENTO,ARROIO SÃO MARCOS
86281000,78.13,0,PCH RIO SÃO MARCOS JUSANTE,ARROIO SÃO MARCOS
86297995,0.00,1,FLORES DA CUNHA-ANTÔNIO PRADO,RIO DAS ANTAS
86298000,93.83,0,UHE CASTRO ALVES RS-122,RIO DAS ANTAS
86305000,94.04,0,UHE CASTRO ALVES BARRAMENTO,RIO DAS ANTAS
86306000,87.50,0,UHE CASTRO ALVES ALÇA,RIO DAS ANTAS
86321000,91.42,0,UHE CASTRO ALVES TEGA,RIO TEGAS
86329001,0.00,1,NOVA ROMA/FARROUPILHA,RIO DAS ANTAS
86350000,60.47,0,PCH CHIMARRÃO RIO SANTA RITA,RIO SANTA RITA
86390900,85.77,0,PCH JARDIM MONTANTE,RIO TURVO
86402000,97.03,0,PCH JARDIM BARRAMENTO,RIO TURVO
86403000,98.80,0,PCH JARDIM JUSANTE,RIO TURVO
86404100,61.05,0,PCH CHIMARRÃO JUSANTE,RIO TURVO
86404200,44.28,0,PCH CHIMARRÃO BARRAMENTO,RIO TURVO
86405000,99.12,0,PCH SANTA CAROLINA BARRAMENTO,RIO TURVO
86406000,70.29,0,PCH SANTA CAROLINA JUSANTE,RIO TURVO
86410001,0.00,1,PROTÁSIO ALVES/IPÊ,RIO TURVO
86410050,91.39,0,PCH DA ILHA BALSA DO TURVO,RIO TURVO
86410800,96.65,0,PCH DA ILHA AFLUENTE,ARROIO PRIMAVERA
86430500,90.33,0,PCH JARARACA PRATINHA,RIO PRATA
86430900,96.60,0,PCH DA ILHA BARRAMENTO,RIO PRATA
86447000,80.66,0,UHE MONTE CLARO BALSA DO PRATA,RIO PRATA
86448000,94.28,0,UHE MONTE CLARO BARRAMENTO,RIO DAS ANTAS
86450000,87.54,0,UHE MONTE CLARO JUSANTE 1 (ALÇA),RIO DAS ANTAS
86450500,95.05,0,UHE MONTE CLARO JUSANTE 2,RIO DAS ANTAS
86450600,9.17,1,CGH TAIPINHA BARRAMENTO,ARROIO TAIPINHA
86451000,76.59,0,UHE 14 DE JULHO MONTANTE,RIO DAS ANTAS
86470800,93.29,0,UHE 14 DE JULHO BARRAMENTO,RIO DAS ANTAS
86470900,90.48,0,UHE 14 DE JULHO ALÇA,RIO DAS ANTAS
86471000,88.22,0,UHE 14 DE JULHO JUSANTE,RIO DAS ANTAS
86472000,97.02,0,LINHA JOSÉ JÚLIO,RIO DAS ANTAS
86472600,36.57,0,SANTA TEREZA,RIO TAQUARI
86479000,91.68,0,PCH CAÇADOR PONTE SÃO DOMINGOS,RIO SÃO DOMINGOS
86488000,93.93,0,PCH CAÇADOR MONTANTE,RIO CARREIRO
86489000,97.56,0,PCH CAÇADOR BARRAMENTO,RIO CARREIRO
86493000,83.14,0,PCH BOA FÉ BARRAMENTO,RIO CARREIRO
86495500,96.85,0,PCH SÃO PAULO BARRAMENTO,RIO CARREIRO
86497400,95.84,0,PCH AUTÓDROMO BARRAMENTO,RIO CARREIRO
86500000,21.36,0,PASSO CARREIRO,RIO CARREIRO
86504900,22.50,0,PCH AUTÓDROMO JUSANTE,RIO CARREIRO
86505400,97.49,0,PCH LINHA EMILIA BARRAMENTO,RIO CARREIRO
86505500,93.35,0,PCH LINHA EMILIA JUSANTE,RIO CARREIRO
86506000,97.49,0,PCH COTIPORÃ BARRAMENTO,RIO CARREIRO
86507000,95.00,0,PCH COTIPORÃ JUSANTE,RIO CARREIRO
86510000,99.00,0,MUÇUM,RIO TAQUARI
86518300,0.00,1,PCH CAPIGUI RESERVATÓRIO 2,RIO CAPIGUI
86518500,0.00,1,PCH CAPIGUI RESERVATÓRIO 1,RIO CAPIGUI
86519500,0.00,1,PCH CAPIGUI RIO BRANCO,RIO BRANCO
86519550,0.00,1,PCH CAPIGUI RIO SANGA CAMINHO 1,ARROIO SEM NOME
86519700,0.00,1,PCH CAPIGUI RESERVATÓRIO 3,RIO CAPIGUI
86519730,0.00,1,PCH CAPIGUI RIO SANGA CAMINHO 2,ARROIO SEM NOME
86520000,72.51,0,PCH CAPIGUI BARRAMENTO DE REGULARIZAÇÃO,RIO CAPIGUI
86520050,0.00,1,PCH CAPIGUI MONTANTE,RIO CAPIGUI
86520090,0.00,1,PCH CAPIGUI BARRAMENTO DE CAPTAÇÃO,RIO CAPIGUI
